fecha,algo,iteraciones,pop_agresivos,pop_cooperativos,pop_neutrales,Aggressive,Cooperative,Neutral,pct_Aggressive,pct_Cooperative,pct_Neutral
2026-05-02 23:39:31,gemini_31_pro_default_75_noise,100,4,4,4,23,39,38,23.0,39.0,38.0
2026-05-03 07:44:25,gemini_31_pro_prose_75_noise,100,4,4,4,30,32,38,30.0,32.0,38.0
2026-05-03 12:25:18,gemini_31_pro_refine_75_noise,100,4,4,4,26,35,39,26.0,35.0,39.0
2026-05-04 02:01:13,openai_gpt54mini_default_75_noise,100,4,4,4,17,45,38,17.0,45.0,38.0
2026-05-04 10:49:55,openai_gpt54mini_prose_75_noise,100,4,4,4,30,36,34,30.0,36.0,34.0
2026-05-04 14:49:48,openai_gpt54mini_refine_75_noise,100,4,4,4,23,40,37,23.0,40.0,37.0
2026-05-04 17:32:14,anthropic_sonnet46_default_75,100,8,2,2,16,46,38,16.0,46.0,38.0
2026-05-05 00:24:15,anthropic_sonnet46_prose_75,100,8,2,2,40,32,28,40.0,32.0,28.0
2026-05-05 03:45:33,anthropic_sonnet46_refine_75,100,8,2,2,54,21,25,54.0,21.0,25.0
2026-05-05 06:06:52,gemini_25_flash_default_75,100,8,2,2,21,40,39,21.0,40.0,39.0
2026-05-05 22:36:57,gemini_25_flash_prose_75,100,8,2,2,70,15,15,70.0,15.0,15.0
2026-05-06 01:34:28,gemini_25_flash_refine_75,100,8,2,2,54,23,23,54.0,23.0,23.0
2026-05-06 04:10:39,gemini_31_pro_default_75,100,8,2,2,43,30,27,43.0,30.0,27.0
2026-05-06 13:33:06,gemini_31_pro_prose_75,100,8,2,2,39,32,29,39.0,32.0,29.0
2026-05-06 22:59:35,gemini_31_pro_refine_75,100,8,2,2,60,22,18,60.0,22.0,18.0
2026-05-07 01:36:26,openai_gpt54mini_default_75,100,8,2,2,20,39,41,20.0,39.0,41.0
2026-05-07 04:45:07,openai_gpt54mini_prose_75,100,8,2,2,45,26,29,45.0,26.0,29.0
2026-05-07 22:56:51,openai_gpt54mini_refine_75,100,8,2,2,24,50,26,24.0,50.0,26.0
2026-05-08 02:15:02,anthropic_sonnet46_default_75_noise,100,8,2,2,53,26,21,53.0,26.0,21.0
2026-05-08 06:07:52,anthropic_sonnet46_prose_75_noise,100,8,2,2,63,21,16,63.0,21.0,16.0
2026-05-08 22:38:33,anthropic_sonnet46_refine_75_noise,100,8,2,2,66,22,12,66.0,22.0,12.0
2026-05-09 00:59:40,gemini_25_flash_default_75_noise,100,8,2,2,59,16,25,59.0,16.0,25.0
2026-05-09 03:41:29,gemini_25_flash_prose_75_noise,100,8,2,2,71,13,16,71.0,13.0,16.0
2026-05-09 06:47:15,gemini_25_flash_refine_75_noise,100,8,2,2,62,20,18,62.0,20.0,18.0
